generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
1,2024-06-28 21:50:29,2024-06-28 21:52:33,124,0.11417000405444168,128,128
2,2024-06-28 21:52:33,2024-06-28 21:54:32,119,0.11877877722367247,128,256
3,2024-06-28 21:54:32,2024-06-28 21:56:32,120,0.11887626445816377,128,384
4,2024-06-28 21:56:32,2024-06-28 21:58:29,117,0.11947739244084368,128,512
5,2024-06-28 21:58:29,2024-06-28 22:00:27,118,0.12731041234136478,128,640
6,2024-06-28 22:00:27,2024-06-28 22:02:24,117,0.1289543863799752,128,768
7,2024-06-28 22:02:24,2024-06-28 22:04:21,117,0.1302795646266005,128,896
8,2024-06-28 22:04:21,2024-06-28 22:06:19,118,0.13278125150878411,128,1024
9,2024-06-28 22:06:19,2024-06-28 22:08:17,118,0.13437054548749378,128,1152
10,2024-06-28 22:08:17,2024-06-28 22:10:15,118,0.13448297624176178,128,1280
11,2024-06-28 22:10:15,2024-06-28 22:12:12,117,0.1378582401657072,128,1408
12,2024-06-28 22:12:12,2024-06-28 22:14:09,117,0.13849760104568237,128,1536
13,2024-06-28 22:14:09,2024-06-28 22:16:06,117,0.14415089449,128,1664
14,2024-06-28 22:16:06,2024-06-28 22:18:04,118,0.1444971475335236,128,1792
15,2024-06-28 22:18:04,2024-06-28 22:20:02,118,0.14709708447138958,128,1920
16,2024-06-28 22:20:02,2024-06-28 22:22:00,118,0.151602267700397,128,2048
17,2024-06-28 22:22:00,2024-06-28 22:23:57,117,0.1519211968646402,128,2176
18,2024-06-28 22:23:57,2024-06-28 22:25:59,122,0.1523062161455335,128,2304
19,2024-06-28 22:25:59,2024-06-28 22:27:55,116,0.15260739873419357,128,2432
20,2024-06-28 22:27:55,2024-06-28 22:29:55,120,0.15274280062476428,128,2560
21,2024-06-28 22:29:55,2024-06-28 22:31:51,116,0.1531638552730025,128,2688
22,2024-06-28 22:31:51,2024-06-28 22:33:49,118,0.15327830946173696,128,2816
23,2024-06-28 22:33:49,2024-06-28 22:35:45,116,0.1535377228956824,128,2944
24,2024-06-28 22:35:45,2024-06-28 22:37:45,120,0.15407686999491316,128,3072
25,2024-06-28 22:37:45,2024-06-28 22:39:41,116,0.1543335591784119,128,3200
26,2024-06-28 22:39:41,2024-06-28 22:41:38,117,0.1544332723264268,128,3328
27,2024-06-28 22:41:38,2024-06-28 22:43:37,119,0.15585963942265507,128,3456
28,2024-06-28 22:43:37,2024-06-28 22:45:33,116,0.15642286678565753,128,3584
29,2024-06-28 22:45:33,2024-06-28 22:47:33,120,0.1567895532907444,128,3712
30,2024-06-28 22:47:33,2024-06-28 22:49:34,121,0.15708540495883377,128,3840
31,2024-06-28 22:49:34,2024-06-28 22:51:31,117,0.15724851032258064,128,3968
32,2024-06-28 22:51:31,2024-06-28 22:53:27,116,0.1590997530151861,128,4096
33,2024-06-28 22:53:27,2024-06-28 22:55:23,116,0.1591386180612655,128,4224
34,2024-06-28 22:55:23,2024-06-28 22:57:20,117,0.15922226687796526,128,4352
35,2024-06-28 22:57:20,2024-06-28 22:59:16,116,0.15921866357218367,128,4480
