generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
64,2024-06-29 18:07:19,2024-06-29 18:09:17,118,0.16406245202369735,128,8192
65,2024-06-29 18:09:17,2024-06-29 18:11:14,117,0.164214082130124,128,8320
66,2024-06-29 18:11:14,2024-06-29 18:13:13,119,0.16501057812734488,128,8448
67,2024-06-29 18:13:13,2024-06-29 18:15:10,117,0.1651651395456576,128,8576
68,2024-06-29 18:15:10,2024-06-29 18:17:09,119,0.16533655808196027,128,8704
69,2024-06-29 18:17:09,2024-06-29 18:19:07,118,0.165200989878536,128,8832
70,2024-06-29 18:19:07,2024-06-29 18:21:04,117,0.16526660102511162,128,8960
71,2024-06-29 18:21:04,2024-06-29 18:23:04,120,0.1680282141019355,128,9088
72,2024-06-29 18:23:04,2024-06-29 18:25:03,119,0.1681128739860049,128,9216
73,2024-06-29 18:25:03,2024-06-29 18:27:00,117,0.16827994228799006,128,9344
74,2024-06-29 18:27:00,2024-06-29 18:28:57,117,0.1683342631375434,128,9472
75,2024-06-29 18:28:57,2024-06-29 18:30:55,118,0.1683978755079404,128,9600
76,2024-06-29 18:30:55,2024-06-29 18:32:52,117,0.1684446871377419,128,9728
77,2024-06-29 18:32:52,2024-06-29 18:34:49,117,0.16850019040724562,128,9856
78,2024-06-29 18:34:49,2024-06-29 18:36:46,117,0.16849504103119103,128,9984
79,2024-06-29 18:36:46,2024-06-29 18:38:43,117,0.17123975370342429,128,10112
80,2024-06-29 18:38:43,2024-06-29 18:40:42,119,0.1712890710086104,128,10240
81,2024-06-29 18:40:42,2024-06-29 18:42:39,117,0.17123802264642676,128,10368
82,2024-06-29 18:42:39,2024-06-29 18:44:35,116,0.171757457110397,128,10496
83,2024-06-29 18:44:35,2024-06-29 18:46:32,117,0.17174343408632756,128,10624
84,2024-06-29 18:46:32,2024-06-29 18:48:33,121,0.17173885312503717,128,10752
85,2024-06-29 18:48:33,2024-06-29 18:50:31,118,0.17183312227687345,128,10880
86,2024-06-29 18:50:31,2024-06-29 18:52:27,116,0.17227447625019848,128,11008
87,2024-06-29 18:52:27,2024-06-29 18:54:25,118,0.17223296744895786,128,11136
88,2024-06-29 18:54:25,2024-06-29 18:56:22,117,0.1725633016599504,128,11264
89,2024-06-29 18:56:22,2024-06-29 18:58:23,121,0.17252956040890824,128,11392
90,2024-06-29 18:58:23,2024-06-29 19:00:24,121,0.17254922723374694,128,11520
91,2024-06-29 19:00:24,2024-06-29 19:02:21,117,0.17255568140970223,128,11648
92,2024-06-29 19:02:21,2024-06-29 19:04:18,117,0.17266246623992562,128,11776
93,2024-06-29 19:04:18,2024-06-29 19:06:16,118,0.17261220472124075,128,11904
94,2024-06-29 19:06:16,2024-06-29 19:08:17,121,0.17268633164347394,128,12032
95,2024-06-29 19:08:17,2024-06-29 19:10:14,117,0.17270145554759306,128,12160
96,2024-06-29 19:10:14,2024-06-29 19:12:11,117,0.17262724945228286,128,12288
97,2024-06-29 19:12:11,2024-06-29 19:14:10,119,0.17265676276580647,128,12416
98,2024-06-29 19:14:10,2024-06-29 19:16:09,119,0.17267723141131516,128,12544
99,2024-06-29 19:16:09,2024-06-29 19:18:05,116,0.17270338698655088,128,12672
100,2024-06-29 19:18:05,2024-06-29 19:20:04,119,0.17274366891828785,128,12800
101,2024-06-29 19:20:04,2024-06-29 19:22:02,118,0.17332250719124068,128,12928
102,2024-06-29 19:22:02,2024-06-29 19:24:02,120,0.17333572823962784,128,13056
103,2024-06-29 19:24:02,2024-06-29 19:26:01,119,0.17336223175622828,128,13184
104,2024-06-29 19:26:01,2024-06-29 19:27:58,117,0.17335333013186108,128,13312
105,2024-06-29 19:27:58,2024-06-29 19:29:55,117,0.1733471700624566,128,13440
106,2024-06-29 19:29:55,2024-06-29 19:31:52,117,0.17338330852233252,128,13568
107,2024-06-29 19:31:52,2024-06-29 19:33:50,118,0.17471721588280398,128,13696
