generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
1,2024-06-29 11:53:26,2024-06-29 11:55:29,123,0.10254119685977667,128,128
2,2024-06-29 11:55:29,2024-06-29 11:57:31,122,0.10256424146064516,128,256
3,2024-06-29 11:57:31,2024-06-29 11:59:36,125,0.10693390343851117,128,384
4,2024-06-29 11:59:36,2024-06-29 12:01:38,122,0.11548473059459058,128,512
5,2024-06-29 12:01:38,2024-06-29 12:03:41,123,0.12361957953171218,128,640
6,2024-06-29 12:03:41,2024-06-29 12:05:43,122,0.12372631707357322,128,768
7,2024-06-29 12:05:43,2024-06-29 12:07:44,121,0.12887808696734493,128,896
8,2024-06-29 12:07:44,2024-06-29 12:09:48,124,0.1291678767862779,128,1024
9,2024-06-29 12:09:48,2024-06-29 12:11:51,123,0.12923664107096777,128,1152
10,2024-06-29 12:11:51,2024-06-29 12:13:52,121,0.13803060073744416,128,1280
11,2024-06-29 12:13:52,2024-06-29 12:15:53,121,0.1439454083741439,128,1408
12,2024-06-29 12:15:53,2024-06-29 12:17:55,122,0.14459630763583128,128,1536
13,2024-06-29 12:17:55,2024-06-29 12:19:58,123,0.1449114590821092,128,1664
14,2024-06-29 12:19:58,2024-06-29 12:21:59,121,0.14517728961168735,128,1792
15,2024-06-29 12:21:59,2024-06-29 12:24:01,122,0.14545765597565755,128,1920
16,2024-06-29 12:24:01,2024-06-29 12:26:03,122,0.14600827586660045,128,2048
17,2024-06-29 12:26:03,2024-06-29 12:28:05,122,0.15009839626816374,128,2176
18,2024-06-29 12:28:05,2024-06-29 12:30:07,122,0.1507026299287841,128,2304
19,2024-06-29 12:30:07,2024-06-29 12:32:08,121,0.15131820175756822,128,2432
20,2024-06-29 12:32:08,2024-06-29 12:34:11,123,0.1513514215048635,128,2560
21,2024-06-29 12:34:11,2024-06-29 12:36:13,122,0.1527303580947147,128,2688
22,2024-06-29 12:36:13,2024-06-29 12:38:15,122,0.15280916106032255,128,2816
23,2024-06-29 12:38:15,2024-06-29 12:40:17,122,0.15411607803915633,128,2944
24,2024-06-29 12:40:17,2024-06-29 12:42:18,121,0.15420919748625309,128,3072
25,2024-06-29 12:42:18,2024-06-29 12:44:20,122,0.15447059111957814,128,3200
26,2024-06-29 12:44:20,2024-06-29 12:46:25,125,0.1545921014381886,128,3328
27,2024-06-29 12:46:25,2024-06-29 12:48:27,122,0.15569283948230772,128,3456
28,2024-06-29 12:48:27,2024-06-29 12:50:29,122,0.15581481040039702,128,3584
29,2024-06-29 12:50:29,2024-06-29 12:52:32,123,0.15585330129094294,128,3712
30,2024-06-29 12:52:32,2024-06-29 12:54:33,121,0.15666418413987593,128,3840
31,2024-06-29 12:54:33,2024-06-29 12:56:34,121,0.15693603994399505,128,3968
32,2024-06-29 12:56:34,2024-06-29 12:58:37,123,0.15723145455975182,128,4096
33,2024-06-29 12:58:37,2024-06-29 13:00:40,123,0.15736911708042184,128,4224
34,2024-06-29 13:00:40,2024-06-29 13:02:42,122,0.15739066860756823,128,4352
35,2024-06-29 13:02:42,2024-06-29 13:04:42,120,0.15739954737851117,128,4480
36,2024-06-29 13:04:42,2024-06-29 13:06:44,122,0.15755007786647648,128,4608
37,2024-06-29 13:06:44,2024-06-29 13:08:44,120,0.15918005219746897,128,4736
38,2024-06-29 13:08:44,2024-06-29 13:10:47,123,0.15929462631878413,128,4864
39,2024-06-29 13:10:47,2024-06-29 13:12:49,122,0.15926370605975187,128,4992
40,2024-06-29 13:12:49,2024-06-29 13:14:50,121,0.15930577028171217,128,5120
41,2024-06-29 13:14:50,2024-06-29 13:16:51,121,0.15930239568267987,128,5248
42,2024-06-29 13:16:51,2024-06-29 13:18:53,122,0.16075675598843675,128,5376
43,2024-06-29 13:18:53,2024-06-29 13:20:58,125,0.16082433755119108,128,5504
44,2024-06-29 13:20:58,2024-06-29 13:23:00,122,0.1608652733134739,128,5632
45,2024-06-29 13:23:00,2024-06-29 13:25:02,122,0.16082304148240692,128,5760
46,2024-06-29 13:25:02,2024-06-29 13:27:03,121,0.16097208617602982,128,5888
47,2024-06-29 13:27:03,2024-06-29 13:29:04,121,0.16105954621272947,128,6016
48,2024-06-29 13:29:04,2024-06-29 13:31:05,121,0.1639341219652357,128,6144
