Date,Canals to Kuraz Sugar Plantations
2030-10-11,99.8
2030-10-12,99.8
2030-10-13,99.8
2030-10-14,99.8
2030-10-15,99.8
2030-10-16,99.8
2030-10-17,99.8
2030-10-18,99.8
2030-10-19,99.8
2030-10-20,99.8
2030-10-21,99.8
2030-10-22,99.8
2030-10-23,99.8
2030-10-24,99.8
2030-10-25,99.8
2030-10-26,99.8
2030-10-27,99.8
2030-10-28,99.8
2030-10-29,99.8
2030-10-30,99.8
2030-10-31,99.8
2030-11-01,99.38499999999999
2030-11-02,99.38499999999999
2030-11-03,99.38499999999999
2030-11-04,99.38499999999999
2030-11-05,99.38499999999999
2030-11-06,99.38499999999999
2030-11-07,99.38499999999999
2030-11-08,99.38499999999999
2030-11-09,99.38499999999999
2030-11-10,99.38499999999999
2030-11-11,99.38499999999999
2030-11-12,99.38499999999999
2030-11-13,99.38499999999999
2030-11-14,99.38499999999999
2030-11-15,99.38499999999999
2030-11-16,99.38499999999999
2030-11-17,99.38499999999999
2030-11-18,99.38499999999999
2030-11-19,99.38499999999999
2030-11-20,99.38499999999999
2030-11-21,99.38499999999999
2030-11-22,99.38499999999999
2030-11-23,99.38499999999999
2030-11-24,99.39
2030-11-25,99.38499999999999
2030-11-26,99.38499999999999
2030-11-27,99.38499999999999
2030-11-28,99.38499999999999
2030-11-29,99.38499999999999
2030-11-30,99.38499999999999
2030-12-01,97.82
2030-12-02,97.82
2030-12-03,97.82
2030-12-04,97.82
2030-12-05,97.82
2030-12-06,97.82
2030-12-07,97.82
2030-12-08,97.82
2030-12-09,97.82
2030-12-10,97.82
2030-12-11,97.82
2030-12-12,97.82
2030-12-13,97.82
2030-12-14,97.82
2030-12-15,97.82
2030-12-16,97.82
2030-12-17,97.82
2030-12-18,97.82
2030-12-19,97.82
2030-12-20,97.82
2030-12-21,97.82
2030-12-22,97.82
2030-12-23,97.815
2030-12-24,97.82
2030-12-25,97.815
2030-12-26,97.815
2030-12-27,97.81
2030-12-28,97.81
2030-12-29,97.81
2030-12-30,97.81
2030-12-31,97.81
2031-01-01,68.405
2031-01-02,68.405
2031-01-03,68.405
2031-01-04,68.405
2031-01-05,68.405
2031-01-06,68.405
2031-01-07,68.405
2031-01-08,68.405
2031-01-09,68.4
2031-01-10,68.405
2031-01-11,68.405
2031-01-12,68.405
2031-01-13,68.405
2031-01-14,68.405
2031-01-15,68.405
2031-01-16,68.405
2031-01-17,68.405
2031-01-18,68.4
2031-01-19,68.4
2031-01-20,68.4
2031-01-21,68.4
2031-01-22,68.4
2031-01-23,68.4
2031-01-24,68.4
2031-01-25,68.4
2031-01-26,68.4
2031-01-27,68.4
2031-01-28,68.4
2031-01-29,68.4
2031-01-30,68.4
2031-01-31,68.4
2031-02-01,72.57499999999999
2031-02-02,72.57499999999999
2031-02-03,72.57
2031-02-04,72.57499999999999
2031-02-05,72.58
2031-02-06,72.57499999999999
2031-02-07,72.58
2031-02-08,72.57499999999999
2031-02-09,72.57
2031-02-10,72.57
2031-02-11,72.57
2031-02-12,72.57
2031-02-13,72.57
2031-02-14,72.57
2031-02-15,72.57
2031-02-16,72.57
2031-02-17,72.57
2031-02-18,72.57
2031-02-19,72.57
2031-02-20,72.57
2031-02-21,72.565
2031-02-22,72.57
2031-02-23,72.57
2031-02-24,72.56
2031-02-25,72.565
2031-02-26,72.56
2031-02-27,72.56
2031-02-28,72.56
2031-03-01,77.045
