Date,Canals to Kuraz Sugar Plantations
2032-01-01,82.32
2032-01-02,82.32499999999999
2032-01-03,82.32
2032-01-04,82.32
2032-01-05,82.32
2032-01-06,82.32
2032-01-07,82.32
2032-01-08,82.31
2032-01-09,82.305
2032-01-10,82.305
2032-01-11,82.295
2032-01-12,82.29
2032-01-13,82.29
2032-01-14,82.28
2032-01-15,82.28
2032-01-16,82.265
2032-01-17,82.265
2032-01-18,82.25
2032-01-19,82.25
2032-01-20,82.24
2032-01-21,82.235
2032-01-22,82.22
2032-01-23,82.215
2032-01-24,82.21
2032-01-25,82.2
2032-01-26,82.185
2032-01-27,82.17500000000001
2032-01-28,82.17
2032-01-29,82.15
2032-01-30,82.14500000000001
2032-01-31,82.13499999999999
2032-02-01,75.17500000000001
2032-02-02,75.16
2032-02-03,75.155
2032-02-04,75.14
2032-02-05,75.13
2032-02-06,75.125
2032-02-07,75.11
2032-02-08,75.1
2032-02-09,75.09
2032-02-10,75.08
2032-02-11,75.07
2032-02-12,75.06
2032-02-13,75.05
2032-02-14,75.035
2032-02-15,75.02
2032-02-16,75.00999999999999
2032-02-17,75.0
2032-02-18,74.98
2032-02-19,74.975
2032-02-20,74.955
2032-02-21,74.945
2032-02-22,74.93
2032-02-23,74.92
2032-02-24,74.91
2032-02-25,74.89
2032-02-26,74.87
2032-02-27,74.86500000000001
2032-02-28,74.845
2032-02-29,74.82499999999999
2032-03-01,61.58
2032-03-02,61.58
2032-03-03,61.575
2032-03-04,61.57
2032-03-05,61.57
2032-03-06,61.555
2032-03-07,61.54
2032-03-08,61.54
2032-03-09,61.535
2032-03-10,61.53
2032-03-11,61.52
2032-03-12,61.515
2032-03-13,61.504999999999995
2032-03-14,61.5
2032-03-15,61.49
2032-03-16,61.48
2032-03-17,61.48
2032-03-18,61.465
2032-03-19,61.45
2032-03-20,61.45
2032-03-21,61.44
2032-03-22,61.44
2032-03-23,61.415
2032-03-24,61.41
2032-03-25,61.405
2032-03-26,61.394999999999996
2032-03-27,61.39
2032-03-28,61.375
2032-03-29,61.37
2032-03-30,61.36
2032-03-31,61.35
2032-04-01,56.25
2032-04-02,56.25
2032-04-03,56.25
2032-04-04,56.25
2032-04-05,56.25
2032-04-06,56.25
